Transition,TwoLegged,Angle,Distance,PlayerType_C,PlayerType_F,PlayerType_G,Competition_EURO,Competition_NBA,Competition_SLO1,Competition_U14,Competition_U16,Movement_dribble or cut,Movement_drive,Movement_no,target
1,1,73.83,0.73,0,1,0,0,0,0,1,0,0,0,1,1
0,1,28.13,1.02,0,1,0,0,0,0,1,0,0,0,1,2
0,1,51.88,7.22,0,1,0,0,0,0,1,0,0,0,1,1
1,1,80.84,3.64,0,1,0,0,0,0,1,0,0,0,1,1
0,1,30.89,7.2,0,1,0,0,0,0,1,0,0,0,1,1
0,1,63.96,1.07,0,1,0,0,0,0,1,0,0,0,1,6
1,0,49.7,0.56,0,1,0,0,0,0,1,0,0,0,1,1
1,0,64.48,0.59,0,1,0,0,0,0,1,0,1,0,0,2
0,0,62.56,0.91,0,1,0,0,0,0,1,0,1,0,0,2
0,0,39.79,0.75,0,1,0,0,0,0,1,0,1,0,0,2
1,1,59.97,0.62,0,1,0,0,0,0,1,0,0,0,1,2
0,1,46.66,7.51,0,1,0,0,0,0,1,0,0,0,1,1
0,0,2.87,2.14,0,1,0,0,0,0,1,0,0,0,1,1
1,0,64.48,0.59,0,0,1,0,0,0,1,0,1,0,0,2
0,1,7.81,7.49,0,0,1,0,0,0,1,0,0,0,1,6
1,0,59.78,1.36,0,0,1,0,0,0,1,0,1,0,0,6
0,1,62.66,7.36,0,0,1,0,0,0,1,0,0,0,1,6
0,0,5.08,2.42,0,0,1,0,0,0,1,0,1,0,0,6
0,1,28.04,6.27,0,0,1,0,0,0,1,0,0,0,1,1
1,0,60.91,0.86,0,0,1,0,0,0,1,0,1,0,0,2
0,1,4.42,6.95,0,0,1,0,0,0,1,0,0,0,1,6
0,0,7.16,1.29,0,0,1,0,0,0,1,0,1,0,0,1
0,1,43.19,7.51,0,0,1,0,0,0,1,0,0,0,1,6
0,1,52.99,1.68,0,0,1,0,0,0,1,0,0,0,1,1
0,1,72.12,7.15,0,0,1,0,0,0,1,0,0,0,1,6
0,1,72.56,0.67,0,0,1,0,0,0,1,0,0,0,1,2
0,1,21.04,7.31,0,0,1,0,0,0,1,0,0,0,1,6
0,1,84.39,5.92,0,0,1,0,0,0,1,0,0,0,1,6
0,1,83.18,4.42,0,0,1,0,0,0,1,0,0,0,1,6
0,1,84.92,5.32,0,0,1,0,0,0,1,0,0,0,1,1
0,1,87.88,6.92,0,0,1,0,0,0,1,0,0,0,1,6
